BILL DATE,CUSTOMER,mat,QUANTITY,region,MATERIAL description
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
30-05-2022,GLOBAL PRATEK PTE LTD,SILICO MANGANESE  Mn 65% to 70%,28,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
